Impedance,Resistance,Reactance,
197.05,-30.89,1.02E-09,1
258.2,-57.23,4.25E-10,1
234.5,-59.81,3.31E-10,1
198.83,-51.21,3.26E-10,1
239.79,-69.66,2.07E-10,1
214.52,-79.58,1.60E-10,1
124.62,-32.17,3.53E-10,1
217.41,-91.35,1.12E-10,1
194.82,-93.71,1.00E-10,1
133,-47.28,1.82E-10,1
189.44,-101.66,7.84E-11,1
176.58,-99.25,7.47E-11,1
173.66,-101.25,6.85E-11,1
174.98,-109.21,5.96E-11,1
167.97,-110.86,5.54E-11,1
162.3,-111.31,5.21E-11,1
159.34,-113.5,4.85E-11,1
154.39,-124.43,4.21E-11,1
147.66,-123.55,4.04E-11,1
140.43,-126.03,3.78E-11,1
134.27,-140.38,3.25E-11,1
125.13,-138.28,3.16E-11,1
109.43,-130.04,3.23E-11,1
89.94,-148.97,2.71E-11,1
83.59,-112.86,3.45E-11,1
82.95,-75.62,4.97E-11,1
98.07,-128.53,2.83E-11,1
75.23,-125.18,2.81E-11,1
63.25,-69.32,4.90E-11,1
78.09,-109.45,3.01E-11,1
73.14,-106.34,3.01E-11,1
64.76,-105.27,2.95E-11,1
60.66,-100.77,2.99E-11,1
57.14,-101.55,2.89E-11,1
51.83,-88.1,3.24E-11,1
54.78,-79.21,3.51E-11,1
53.7,-62.56,4.33E-11,1
63.62,-76.91,3.44E-11,1
67.11,-75.4,3.42E-11,1
68.29,-74.8,3.37E-11,1
69.15,-76.28,3.22E-11,1
68.64,-83.61,2.88E-11,1
68.42,-90.23,2.61E-11,1
61.79,-87.22,2.64E-11,1
55.14,-84.63,2.66E-11,1
50.74,-78.68,2.80E-11,1
50.19,-77.55,2.79E-11,1
51.35,-72.09,2.94E-11,1
52.08,-69.88,2.97E-11,1
45.93,-54.72,3.72E-11,1
54.32,-69.91,2.86E-11,1
55.97,-69.67,2.82E-11,1
55.48,-68.36,2.82E-11,1
55.65,-68.63,2.76E-11,1
54.62,-71.26,2.61E-11,1
56.32,-74.98,2.44E-11,1
53.76,-71.1,2.53E-11,1
52.91,-70.79,2.50E-11,1
51.24,-68.3,2.55E-11,1
53.29,-73.7,2.32E-11,1
51.27,-74.33,2.26E-11,1
48.34,-74.46,2.23E-11,1
38.37,-55.91,2.92E-11,1
44.7,-72.35,2.22E-11,1
44.27,-74.09,2.14E-11,1
42.73,-73.2,2.13E-11,1
41.15,-73.51,2.09E-11,1
39.29,-73.56,2.06E-11,1
37.24,-76.51,1.95E-11,1
35.53,-72.6,2.03E-11,1
33.87,-72.01,2.02E-11,1
32.76,-69.63,2.06E-11,1
30.85,-71.8,1.97E-11,1
28.3,-70.49,1.98E-11,1
26.18,-68.95,2.00E-11,1
21.43,-51.23,2.66E-11,1
23.72,-65.92,2.04E-11,1
21.92,-65.43,2.03E-11,1
20.84,-63.12,2.08E-11,1
19.75,-61.8,2.10E-11,1
19.39,-60.61,2.11E-11,1
17.93,-60.91,2.08E-11,1
17.24,-57.7,2.17E-11,1
16.57,-56.12,2.20E-11,1
16.57,-53.72,2.27E-11,1
16.27,-53.63,2.25E-11,1
16.01,-52.48,2.27E-11,1
15.91,-51.8,2.28E-11,1
12.15,-41.73,2.80E-11,1
14.37,-50.76,2.28E-11,1
13.2,-49.97,2.29E-11,1
12.49,-48.23,2.34E-11,1
12.05,-46.97,2.38E-11,1
11.95,-45.81,2.42E-11,1
11.43,-45.72,2.40E-11,1
10.99,-44.14,2.46E-11,1
10.48,-42.92,2.50E-11,1
10.32,-41.44,2.56E-11,1
10.03,-41.13,2.56E-11,1
9.45,-40.29,2.59E-11,1
8.89,-39.08,2.64E-11,1
8.54,-38.05,2.69E-11,1
6.99,-34.51,2.93E-11,1
8.08,-36.05,2.78E-11,1
7.78,-35.16,2.83E-11,1
7.44,-33.86,2.91E-11,1
7.2,-32.73,2.98E-11,1
6.97,-31.72,3.05E-11,1
6.77,-30.4,3.15E-11,1
6.77,-29.49,3.22E-11,1
6.75,-28.1,3.35E-11,1
7.01,-26.51,3.52E-11,1
7.94,-25.34,3.65E-11,1
9.03,-24.94,3.68E-11,1
9.23,-25.15,3.61E-11,1
8.95,-24.85,3.63E-11,1
8.76,-24.05,3.72E-11,1
8.62,-23.25,3.81E-11,1
8.79,-22.42,3.92E-11,1
7.84,-21.99,3.96E-11,1
9.44,-20.87,4.14E-11,1
10.19,-20.41,4.20E-11,1
10.44,-20.31,4.19E-11,1
10.56,-20.28,4.16E-11,1
10.62,-20.1,4.17E-11,1
10.78,-20.41,4.07E-11,1
10.77,-20.51,4.02E-11,1
10.4,-20.34,4.02E-11,1
9.65,-20.34,3.99E-11,1
8.88,-19.93,4.04E-11,1
8.16,-19.33,4.14E-11,1
7.54,-18.56,4.28E-11,1
7.23,-17.76,4.44E-11,1
6.95,-17.1,4.57E-11,1
6.61,-16.43,4.73E-11,1
6.31,-15.62,4.94E-11,1
5.92,-15.29,5.01E-11,1
5.95,-13.72,5.54E-11,1
6.01,-12.57,6.01E-11,1
6.06,-11.98,6.25E-11,1
6.26,-11.28,6.60E-11,1
6.45,-10.67,6.92E-11,1
6.59,-10.35,7.09E-11,1
6.76,-9.8,7.44E-11,1
6.76,-9.42,7.68E-11,1
6.46,-9.25,7.77E-11,1
6.16,-8.63,8.27E-11,1
6.35,-9.36,7.58E-11,1
5.61,-7.03,1.00E-10,1
5.66,-6.12,1.14E-10,1
5.59,-5.58,1.25E-10,1
