Impedance,Resistance,Reactance,HT
272.31,-40.10,7.86E-10,1
260.33,-44.83,6.83E-10,1
58.97,0.43,1.29E-08,1
272.55,-40.55,7.14E-10,1
253.93,-42.68,6.61E-10,1
98.61,-3.60,7.63E-09,1
267.01,-47.32,5.66E-10,1
248.36,-47.81,5.46E-10,1
250.52,-48.77,5.23E-10,1
263.04,-53.15,4.69E-10,1
255.81,-53.68,4.53E-10,1
250.40,-51.38,4.63E-10,1
249.16,-50.93,4.57E-10,1
261.91,-56.02,4.07E-10,1
247.40,-54.01,4.13E-10,1
240.02,-48.53,4.50E-10,1
274.09,-65.82,3.25E-10,1
246.17,-55.37,3.79E-10,1
216.98,-44.24,4.65E-10,1
278.78,-56.35,3.58E-10,1
247.71,-58.98,3.36E-10,1
68.02,-0.92,2.11E-08,1
266.21,-55.38,3.45E-10,1
242.63,-60.74,3.09E-10,1
79.26,-2.80,6.58E-09,1
258.73,-62.91,2.88E-10,1
241.09,-64.86,2.75E-10,1
217.95,-50.34,3.48E-10,1
257.65,-74.42,2.32E-10,1
244.55,-76.18,2.23E-10,1
240.27,-74.52,2.24E-10,1
239.38,-72.75,2.26E-10,1
241.90,-79.49,2.04E-10,1
231.98,-76.18,2.10E-10,1
229.03,-70.97,2.22E-10,1
247.88,-85.97,1.80E-10,1
230.17,-74.52,2.05E-10,1
215.26,-64.68,2.33E-10,1
258.55,-92.36,1.61E-10,1
228.54,-77.46,1.89E-10,1
166.97,-42.99,3.36E-10,1
252.63,-80.22,1.78E-10,1
226.88,-79.49,1.77E-10,1
77.82,-6.60,2.10E-09,1
241.73,-81.07,1.69E-10,1
223.14,-80.63,1.68E-10,1
130.56,-22.39,5.97E-10,1
234.56,-86.94,1.52E-10,1
220.29,-81.40,1.60E-10,1
221.36,-81.91,1.57E-10,1
228.05,-83.52,1.52E-10,1
223.53,-89.01,1.41E-10,1
219.88,-84.10,1.48E-10,1
220.56,-79.42,1.55E-10,1
228.36,-92.51,1.31E-10,1
216.01,-85.77,1.40E-10,1
209.98,-77.89,1.53E-10,1
236.27,-102.18,1.15E-10,1
