Impedance,Resistance,Reactance,HT
56.85,-798.00,3.95E-11,0
67.83,-850.18,3.60E-11,0
59.84,-835.34,3.56E-11,0
60.60,-805.52,3.59E-11,0
59.28,-778.88,3.62E-11,0
53.85,-758.55,3.62E-11,0
50.79,-742.23,3.61E-11,0
49.20,-707.27,3.69E-11,0
47.00,-686.68,3.71E-11,0
44.77,-686.41,3.63E-11,0
45.98,-666.32,3.65E-11,0
38.18,-643.92,3.70E-11,0
39.17,-639.42,3.64E-11,0
40.84,-621.12,3.67E-11,0
40.01,-615.80,3.62E-11,0
35.87,-606.00,3.61E-11,0
39.02,-590.52,3.63E-11,0
37.34,-577.39,3.64E-11,0
31.92,-574.55,3.58E-11,0
32.85,-550.89,3.67E-11,0
32.88,-541.92,3.66E-11,0
27.56,-535.71,3.63E-11,0
45.39,-530.38,3.60E-11,0
46.00,-523.72,3.58E-11,0
40.39,-516.35,3.57E-11,0
38.07,-506.92,3.58E-11,0
37.12,-484.23,3.68E-11,0
35.93,-481.74,3.64E-11,0
32.12,-482.33,3.58E-11,0
33.73,-472.74,3.59E-11,0
31.22,-452.27,3.70E-11,0
27.18,-457.84,3.60E-11,0
28.53,-443.25,3.66E-11,0
28.49,-441.19,3.62E-11,0
22.79,-436.81,3.60E-11,0
26.18,-424.13,3.66E-11,0
25.75,-415.94,3.67E-11,0
22.28,-420.35,3.58E-11,0
24.67,-403.01,3.69E-11,0
24.40,-397.41,3.69E-11,0
20.04,-400.01,3.61E-11,0
24.25,-390.40,3.65E-11,0
24.32,-380.74,3.70E-11,0
19.64,-375.42,3.70E-11,0
21.31,-374.24,3.66E-11,0
23.38,-365.89,3.70E-11,0
20.97,-359.85,3.72E-11,0
19.14,-361.90,3.65E-11,0
22.11,-350.75,3.72E-11,0
22.93,-347.49,3.71E-11,0
18.85,-349.51,3.64E-11,0
22.30,-337.20,3.73E-11,0
22.93,-333.52,3.73E-11,0
19.73,-336.59,3.65E-11,0
21.45,-323.75,3.75E-11,0
24.38,-327.16,3.67E-11,0
18.35,-320.49,3.71E-11,0
23.87,-317.62,3.70E-11,0
22.72,-311.01,3.74E-11,0
18.24,-310.31,3.71E-11,0
